id,Author,Year,Delete metric,Metric,Note,Note.two,Name,Label,Notation,Validation.obsolete,By.id.obsolete,By.Author.obsolete,Experiment.obsolete,Subjects.obsolete,Models.obsolete,Concept.obsolete,Statistics test used.obsolete,Result.obsolete,Category,Cluster.reason,Applicable to CMMN,Reason
19518,Rolon2006,2006,,\texttt{NICoE},,,number of intermediate compensation event,NumberOfIntermediateCompensationEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NIEE},,,number of intermediate error event,NumberOfIntermediateErrorEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NTIE},,,total number of intermediate events,NumberOfIntermediateEvents,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NILE},,,number of intermediate link event,NumberOfIntermediateLinkEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NIMsE},,,number of intermediate message event,NumberOfIntermediateMessageEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NIMuE},,,number of intermediate multiple event,NumberOfIntermediateMultipleEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NINE},,,number of intermediate none event,NumberOfIntermediateNoneEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NIRE},,,number of intermediate rule event,NumberOfIntermediateRuleEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NITE},,,number of intermediate timer event,NumberOfIntermediateTimerEvent,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,Dup,\texttt{NL},,,number of lanes\cite{Garcia2003inte},NumberOfLanes,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NTL},,,number of looping tasks,NumberOfLoopingTasks,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NMF},,,number of message flows,NumberOfMessageFlows,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NTMI},,,number of multiple instances tasks,NumberOfMultipleInstancesTasks,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NDOOut},,,number of output data objects,NumberOfOutputDataObjects,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NPF},,,number of parallel fork/join,NumberOfParallelForkJoin,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NP},,,number of pools,NumberOfPools,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NSFG},,,number of sequence flows from gateways,NumberOfSequenceFlowFromGateways,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,Dup,\texttt{NSF},,,number of sequence flows\cite{Garcia2004},NumberOfSequenceFlows,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
19518,Rolon2006,2006,,\texttt{NSFA},,,number of sequence flows between activities,NumberOfSequenceFlowsBetweenActivities,BPMN,N,19518,Rolon2006,,,,,none,,Counter,,No,Concept does not exist in {\glCMMN}
