"id","submitdate","lastpage","startlanguage","startdate","datestamp","Consent","Gender","Age","Degree","Role[R1]","Role[R2]","Role[R3]","Role[R4]","Role[R5]","Role[R6]","Role[R7]","Role[R8]","Role[R9]","Role[R10]","Role[other]","Bias[B1]","Bias[B2]","Bias[B3]","Bias[B4]","Bias[B5]","Bias[B6]","Bias[B7]","Bias[B8]","Bias[B9]","Bias[B10]","Bias[other]","IT","Work","Training","Notation[None]","Notation[BPMN]","Notation[EPC]","Notation[UMLAD]","Notation[UML]","Notation[CMMN]","Notation[other]","SetId","Tutorial","Experience","Model1Q1a","Model1Q2a","Model1Q3a","Model1Q4a","Model1Q5a[SQ001]","Model1Q5a[SQ002]","Model1Q5a[SQ003]","Model1Q5a[SQ004]","Model1Q5a[SQ005]","Model1Q5a[SQ006]","Perceived1a[ans]","Model2Q1a","Model2Q2a","Model2Q3a","Model2Q4a","Model2Q5a[SQ001]","Model2Q5a[SQ002]","Model2Q5a[SQ003]","Model2Q5a[SQ004]","Model2Q5a[SQ005]","Model2Q5a[SQ006]","Perceived2a[ans]","Model3Q1a","Model3Q2a","Model3Q3a","Model3Q4a","Model3Q5a[SQ001]","Model3Q5a[SQ002]","Model3Q5a[SQ003]","Model3Q5a[SQ004]","Model3Q5a[SQ005]","Model3Q5a[SQ006]","Perceived3a[ans]","Model4Q1a","Model4Q2a","Model4Q3a","Model4Q4a","Model4Q5a[SQ001]","Model4Q5a[SQ002]","Model4Q5a[SQ003]","Model4Q5a[SQ004]","Model4Q5a[SQ005]","Model4Q5a[SQ006]","Perceived4a[ans]","Model5Q1a","Model5Q2a","Model5Q3a","Model5Q4a","Model5Q5a[SQ001]","Model5Q5a[SQ002]","Model5Q5a[SQ003]","Model5Q5a[SQ004]","Model5Q5a[SQ005]","Model5Q5a[SQ006]","Perceived5a[ans]","Model6Q1a","Model6Q2a","Model6Q3a","Model6Q4a","Model6Q5a[SQ001]","Model6Q5a[SQ002]","Model6Q5a[SQ003]","Model6Q5a[SQ004]","Model6Q5a[SQ005]","Model6Q5a[SQ006]","Perceived6a[ans]","Model1Q1b","Model1Q2b","Model1Q3b","Model1Q4b","Model1Q5b[SQ001]","Model1Q5b[SQ002]","Model1Q5b[SQ003]","Model1Q5b[SQ004]","Model1Q5b[SQ005]","Model1Q5b[SQ006]","Perceived1b[ans]","Model2Q1b","Model2Q2b","Model2Q3b","Model2Q4b","Model2Q5b[SQ001]","Model2Q5b[SQ002]","Model2Q5b[SQ003]","Model2Q5b[SQ004]","Model2Q5b[SQ005]","Model2Q5b[SQ006]","Perceived2b[ans]","Model3Q1b","Model3Q2b","Model3Q3b","Model3Q4b","Model3Q5b[SQ001]","Model3Q5b[SQ002]","Model3Q5b[SQ003]","Model3Q5b[SQ004]","Model3Q5b[SQ005]","Model3Q5b[SQ006]","Perceived3b[ans]","Model4Q1b","Model4Q2b","Model4Q3b","Model4Q4b","Model4Q5b[SQ001]","Model4Q5b[SQ002]","Model4Q5b[SQ003]","Model4Q5b[SQ004]","Model4Q5b[SQ005]","Model4Q5b[SQ006]","Perceived4b[ans]","Model5Q1b","Model5Q2b","Model5Q3b","Model5Q4b","Model5Q5b[SQ001]","Model5Q5b[SQ002]","Model5Q5b[SQ003]","Model5Q5b[SQ004]","Model5Q5b[SQ005]","Model5Q5b[SQ006]","Perceived5b[ans]","Compare1vs2[ans]","Compare1vs3[ans]","Compare1vs4[ans]","Compare1vs5[ans]","Compare1vs6[ans]","Compare2vs1[ans]","Compare2vs3[ans]","Compare2vs4[ans]","Compare2vs5[ans]","Compare2vs6[ans]","Compare3vs1[ans]","Compare3vs2[ans]","Compare3vs4[ans]","Compare3vs5[ans]","Compare3vs6[ans]","Compare4vs1[ans]","Compare4vs2[ans]","Compare4vs3[ans]","Compare4vs5[ans]","Compare4vs6[ans]","Compare5vs1[ans]","Compare5vs2[ans]","Compare5vs3[ans]","Compare5vs4[ans]","Compare5vs6[ans]","Compare6vs1[ans]","Compare6vs2[ans]","Compare6vs3[ans]","Compare6vs4[ans]","Compare6vs5[ans]","Weights[CasePlan]","Weights[Stage]","Weights[DStage]","Weights[PlanFrag]","Weights[CFileItem]","Weights[Task]","Weights[DTask]","Weights[NBHTask]","Weights[ProcTask]","Weights[CaseTask]","Weights[CaseTasknim]","Weights[BHTask]","Weights[Event]","Weights[UserEvent]","Weights[TimerEvent]","Weights[Milestone]","Weights[Connector]","Weights[HumanIcon]","Weights[CPlanningT]","Weights[EPlanningT]","Weights[AComplete]","Weights[Collapsed]","Weights[Expanded]","Weights[ManualA]","Weights[Repetition]","Weights[Required]","Weights[EntryCritWC]","Weights[EntryCrit]","Weights[ExitCritWC]","Weights[ExitCrit]","Weights[EntryCritAND]","Weights[EntryCritOR]","Weights[ExitCritAND]","Weights[ExitCritOR]","Charity","Charity[other]","EarlyAccess","Final","interviewtime","groupTime1","ConsentTime","groupTime2","GenderTime","AgeTime","DegreeTime","RoleTime","BiasTime","ITTime","WorkTime","TrainingTime","NotationTime","SetIdTime","groupTime3","TutorialTime","ExperienceTime","groupTime5","Model1Q1aTime","Model1Q2aTime","Model1Q3aTime","Model1Q4aTime","Model1Q5aTime","Perceived1aTime","groupTime6","Model2Q1aTime","Model2Q2aTime","Model2Q3aTime","Model2Q4aTime","Model2Q5aTime","Perceived2aTime","groupTime7","Model3Q1aTime","Model3Q2aTime","Model3Q3aTime","Model3Q4aTime","Model3Q5aTime","Perceived3aTime","groupTime8","Model4Q1aTime","Model4Q2aTime","Model4Q3aTime","Model4Q4aTime","Model4Q5aTime","Perceived4aTime","groupTime9","Model5Q1aTime","Model5Q2aTime","Model5Q3aTime","Model5Q4aTime","Model5Q5aTime","Perceived5aTime","groupTime10","Model6Q1aTime","Model6Q2aTime","Model6Q3aTime","Model6Q4aTime","Model6Q5aTime","Perceived6aTime","groupTime11","Model1Q1bTime","Model1Q2bTime","Model1Q3bTime","Model1Q4bTime","Model1Q5bTime","Perceived1bTime","groupTime12","Model2Q1bTime","Model2Q2bTime","Model2Q3bTime","Model2Q4bTime","Model2Q5bTime","Perceived2bTime","groupTime13","Model3Q1bTime","Model3Q2bTime","Model3Q3bTime","Model3Q4bTime","Model3Q5bTime","Perceived3bTime","groupTime14","Model4Q1bTime","Model4Q2bTime","Model4Q3bTime","Model4Q4bTime","Model4Q5bTime","Perceived4bTime","groupTime15","Model5Q1bTime","Model5Q2bTime","Model5Q3bTime","Model5Q4bTime","Model5Q5bTime","Perceived5bTime","groupTime16","Compare1vs2Time","groupTime17","Compare1vs3Time","groupTime18","Compare1vs4Time","groupTime19","Compare1vs5Time","groupTime20","Compare1vs6Time","groupTime21","Compare2vs1Time","groupTime22","Compare2vs3Time","groupTime23","Compare2vs4Time","groupTime24","Compare2vs5Time","groupTime25","Compare2vs6Time","groupTime26","Compare3vs1Time","groupTime27","Compare3vs2Time","groupTime28","Compare3vs4Time","groupTime29","Compare3vs5Time","groupTime30","Compare3vs6Time","groupTime31","Compare4vs1Time","groupTime32","Compare4vs2Time","groupTime33","Compare4vs3Time","groupTime34","Compare4vs5Time","groupTime35","Compare4vs6Time","groupTime36","Compare5vs1Time","groupTime37","Compare5vs2Time","groupTime38","Compare5vs3Time","groupTime39","Compare5vs4Time","groupTime40","Compare5vs6Time","groupTime41","Compare6vs1Time","groupTime42","Compare6vs2Time","groupTime43","Compare6vs3Time","groupTime44","Compare6vs4Time","groupTime45","Compare6vs5Time","groupTime4","WeightsTime","groupTime46","CharityTime","EarlyAccessTime","FinalTime"
"311","","","en","2016-07-11 20:33:14","2016-07-11 20:33:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"312","","","en","2016-07-11 20:53:35","2016-07-11 20:53:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"313","","","en","2016-07-11 22:43:37","2016-07-11 22:43:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"314","","2","en","2016-07-12 02:45:39","2016-07-12 02:49:37","Y","M","55.0000000000","4","","","","","","","","","","Y","","Y","Y","","Y","","","","","","","","20.0000000000","20.0000000000","12.0000000000","","Y","","","Y","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239.47","53.61","","185.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"454","","2","en","2016-08-11 17:14:57","2016-08-11 17:17:17","Y","M","40.0000000000","4","","","","Y","","","","","","Y","","","","","","","","","","","","depends on use case what tools to use","20.0000000000","10.0000000000","10.0000000000","","Y","","Y","Y","Y","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141.2","41.75","","99.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"316","2016-07-12 08:36:36","46","en","2016-07-12 07:27:59","2016-07-12 08:36:36","Y","M","33.0000000000","4","","","","","","","","","","Y","","","","","","","","","","","Y","","9.0000000000","4.0000000000","0.0000000000","Y","","","","","","","17","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0000000000","Y","N","N","Y","","Y","Y","Y","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0000000000","Y","Y","N","Y","Y","Y","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A3","","","Just some thoughts that crept in while going thru the tutorial..

- I was little confused among the human and hand icons for the tasks. Probably, some more intuitive icons?

- I can't remember correctly, but got a feeling that the concept of filled-in square icon could have been used the other way round.. i.e. to denote the other option.



All the Best for your Research..!! ","1138.57","6.4","","46.13","","","","","","","","","","","16.08","","","","","","","","","","","","","","","","","","","","","","","","266.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","211.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.72","","474.89","","",""
"317","2016-07-12 14:17:23","46","en","2016-07-12 12:43:32","2016-07-12 14:17:23","Y","M","52.0000000000","","","","","","","","","","","","business consultant","","","","","","","","","","Y","","20.0000000000","4.0000000000","6.0000000000","","Y","","","","","","18","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0000000000","N","N","","","","Y","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","N","N","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","2","7","2","","","","2","","","","","2","","2","","","7","","","","2","","","2","","","7","2","","6","","2","A4","","","","5633.55","309.26","","118","","","","","","","","","","","3878.13","","","","","","","","","","","","","","","","","","","","","","","","244.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.06","","","","","","","","","","","","","","","","","","","","","","","","","","74.53","","781.75","","",""
"318","","1","en","2016-07-12 13:30:55","2016-07-12 13:31:08","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.81","13.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"319","","2","en","2016-07-12 16:45:58","2016-07-12 16:47:25","Y","M","33.0000000000","4","","","","","","","","","","","Dir. Product Strategy","","","","","Y","","","","","","","10.0000000000","10.0000000000","50.0000000000","","Y","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.48","6.68","","81.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"320","","","en","2016-07-12 16:46:47","2016-07-12 16:46:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"321","","","en","2016-07-12 18:57:01","2016-07-12 18:57:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"322","2016-07-13 02:10:37","46","en","2016-07-12 23:12:11","2016-07-13 02:10:37","Y","M","46.0000000000","4","","","","","","","Y","","","","","Y","","","Y","Y","","","","","","","23.0000000000","20.0000000000","2.0000000000","","Y","","Y","Y","Y","IDEF","23","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0000000000","N","N","Y","","Y","Y","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","Y","Y","N","Y","","","Y","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","1","","","","","2","","5","","","","","","","4","","","4","5","","","","7","6","","","","3","","","","","3","","A2","","","","10707.7","63","","97.42","","","","","","","","","","","9946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","197.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.56","","","","","","","","","","","","","","","","36.03","","137.34","","",""
"323","","7","en","2016-07-12 23:16:08","2016-07-12 23:19:43","Y","M","61.0000000000","5","","","","","","","","","","","life long student of technologies","","","","","","","","","","Y","","40.0000000000","5.0000000000","1.0000000000","","Y","","","","","","24","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217.21","8.68","","89.41","","","","","","","","","","","119.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"324","","","en","2016-07-13 00:09:08","2016-07-13 00:09:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"325","2016-07-13 07:30:54","46","en","2016-07-13 04:45:16","2016-07-13 07:30:54","Y","M","40.0000000000","5","","","","","","","","","","Y","","","","","Y","","Y","","","","","","15.0000000000","5.0000000000","1.0000000000","","Y","","Y","","Y","","26","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0000000000","N","Y","Y","","","","","","Y","3","5.0000000000","N","Y","Y","","","Y","Y","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A1","","","","8488.36","61.15","","263.3","","","","","","","","","","","144.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6985.17","","","","","","","416.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.15","","","","","","","","","","259.28","","302.07","","",""
"326","","2","en","2016-07-13 05:17:44","2016-07-13 05:19:11","Y","M","40.0000000000","5","","","","","","","","","","Y","","","","","Y","","Y","","","","","","15.0000000000","5.0000000000","1.0000000000","","Y","","Y","","Y","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.18","10.49","","76.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"327","","11","en","2016-07-13 06:56:28","2016-07-13 07:06:08","Y","M","36.0000000000","1","","","","","","","","","","","QA","","","","","","","","","","Y","","10.0000000000","7.0000000000","","","","","Y","","","","28","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0000000000","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","582.35","26.82","","184.91","","","","","","","","","","","115.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"328","2016-07-13 08:25:27","46","en","2016-07-13 07:23:53","2016-07-13 08:25:27","Y","M","38.0000000000","3","","","","","","Y","","","","Y","","","","","Y","","Y","","","","","","15.0000000000","10.0000000000","1.0000000000","","Y","","","","","","29","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0000000000","N","Y","Y","","","","","","Y","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0000000000","Y","N","N","","","Y","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A1","","","You may have more charity listed for choose, there are only three for us by now.","3630.88","239.47","","405.53","","","","","","","","","","","370.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1389.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","563.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141.4","","","","175.34","","345.08","","",""
"329","","2","en","2016-07-13 07:44:05","2016-07-13 07:44:32","Y","M","54.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.52","13.41","","14.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"330","","2","en","2016-07-13 07:58:27","2016-07-13 07:58:38","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","5.78","","6.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"331","","3","en","2016-07-13 08:24:48","2016-07-13 08:28:56","Y","F","36.0000000000","4","","","","","","","","","","Y","","","","","Y","","","","","","","","11.0000000000","1.0000000000","1.0000000000","","","","","","Y","","2","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249.03","53.71","","179.29","","","","","","","","","","","16.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
